"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-10-05","71.8","-4.01","1.04","Grisham, Trent",663757,643511,"single","hit_into_play",,,,,8,"Trent Grisham singles on a line drive to right fielder Mike Yastrzemski.","R","L","R","SD","SF","X",9,"line_drive",2,2,2022,"1.28","1.3","-0.16","1.83",,,,0,8,"Bot",178.74,121.77,,,663698,,,5.383993785748835,-104.03543763164068,6.961708037882048,8.167872579201278,19.84408548803723,-24.466702938844016,"3.49","1.7",165,"95.1",11,"70.8",2330,"6",662238,643511,663698,527038,665154,613564,543063,596103,669369,573262,"54.47",0.791,0.756,"0.9",1,1,0,4,64,6,"Slider",1,7,1,7,7,1,1,7,"Standard","Standard",115,"0.007","0.42"
"FF","2022-10-03","93.5","2.62","5.59","Grisham, Trent",663757,606424,"field_out","hit_into_play",,,,,3,"Trent Grisham pops out to second baseman Thairo Estrada.","R","L","L","SD","SF","X",4,"popup",2,0,2022,"1.54","0.89","0.81","3.17",,,,2,8,"Bot",161,133.53,,,663698,,,-8.080902302390811,-135.80350714333028,-2.4032078385460647,20.846452447120164,32.171030358815074,-20.842557820077328,"3.49","1.68",188,"76.4",56,"93.3",2206,"6.4",662239,606424,663698,605204,642731,527038,543063,592626,596103,664774,"54.07",0.091,0.111,"0",1,0,0,3,64,3,"4-Seam Fastball",7,0,7,0,0,7,7,0,"Standard","Standard",134,"0","-0.137"
"SI","2022-09-24","96","-1.79","5.34","Grisham, Trent",663757,663385,"force_out","hit_into_play",,,,,14,"Trent Grisham grounds into a force out, second baseman Alan Trejo to shortstop Ezequiel Tovar.   Josh Bell scores.    Ha-Seong Kim out at 2nd.    Trent Grisham to 1st.","R","L","R","COL","SD","X",4,"ground_ball",0,0,2022,"-1.1","0.51","0.09","1.33",605137,,673490,1,7,"Top",142.94,157.88,,,661531,,,7.425554102573466,-139.66097209920602,-6.231541380643685,-15.973416290024167,27.121454848676276,-24.370710255246564,"3.5","1.71",5,"99.7",-15,"96.2",2332,"6.1",662866,663385,661531,669911,676701,641857,678662,656248,602074,545341,"54.38",0.186,0.167,"0",1,0,0,2,59,1,"Sinker",2,8,8,2,9,2,9,2,"Standard","Standard",226,"-0.002","-0.591"
"FF","2022-09-15","96.1","-1.83","5.7","Grisham, Trent",663757,686753,"field_out","hit_into_play",,,,,13,"Trent Grisham grounds out, second baseman Josh Rojas to first baseman Christian Walker.   Brandon Drury to 3rd.","R","L","R","ARI","SD","X",4,"ground_ball",1,2,2022,"-0.67","1.44","-0.99","1.65",,592273,,1,5,"Top",151.88,154.19,,,608348,,,3.692719024846014,-139.62478898248455,-8.279467508527887,-9.586466306072857,34.81481405536892,-11.668811616631869,"3.49","1.71",3,"86.7",-25,"94.9",2299,"5.9",663284,686753,608348,572233,668942,656896,672695,656448,664983,656669,"54.59",0.074,0.07,"0",1,0,0,2,32,4,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",216,"0.039","-0.223"
"CU","2022-09-09","78.6","2.39","5.73","Grisham, Trent",663757,657571,"field_out","hit_into_play",,,,,8,"Trent Grisham lines out to first baseman Freddie Freeman.","R","L","L","SD","LAD","X",3,"line_drive",1,1,2022,"-1.18","-1.16","-0.23","1.66",,,,1,6,"Bot",156.55,161.34,,,669257,,,-3.4707798203334845,-114.2713249378781,0.3147871096952404,-9.458833982996468,24.607586029609386,-42.560261978961634,"3.49","1.72",126,"86.5",10,"77.9",3022,"6.2",661850,657571,669257,518692,621035,457759,607208,572204,641355,605141,"54.3",0.469,0.422,"0",1,0,0,4,51,3,"Curveball",4,4,4,4,4,4,4,4,"Standard","Standard",323,"-0.024","-0.147"
"FF","2022-09-07","91.1","1.78","5.49","Grisham, Trent",663757,674072,"single","hit_into_play",,,,,8,"Trent Grisham singles on a ground ball to right fielder Jake McCarthy.","R","L","L","SD","ARI","X",9,"ground_ball",1,0,2022,"0.87","1.12","0.11","1.68",,,,0,5,"Bot",158.24,133.04,,,669450,,,-6.080400852452983,-132.4252748946856,-6.102443443311734,11.464412202737828,27.160826818929603,-17.92428207454594,"3.48","1.72",85,"109.3",3,"91.7",2136,"6.6",662216,674072,669450,656896,606466,668942,672695,682998,677950,664983,"53.9",0.574,0.525,"0.9",1,1,0,4,40,2,"4-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard",139,"0.033","0.361"
"CU","2022-09-06","83.1","-1.49","5.53","Grisham, Trent",663757,518876,"field_out","hit_into_play",,,,,9,"Trent Grisham grounds out to first baseman Christian Walker.","R","L","R","SD","ARI","X",3,"ground_ball",1,0,2022,"0.61","-1.05","0.4","1.93",,,,1,5,"Bot",159.14,169.92,,,608348,,,3.10746978943412,-120.98858854233589,0.3506288545155565,5.287612894198277,26.77574404470157,-42.66773379279233,"3.48","1.73",42,"98.3",0,"82.2",2474,"6",662205,518876,608348,572233,606466,668942,642727,664983,677950,662139,"54.54",0.397,0.376,"0",1,0,0,4,43,2,"Curveball",3,5,3,5,5,3,3,5,"Standard","Standard",48,"-0.021","-0.178"
"CH","2022-09-05","81.7","-0.81","5.73","Grisham, Trent",663757,669194,"field_out","hit_into_play",,,,,8,"Trent Grisham flies out to right fielder Jake McCarthy in foul territory.","R","L","R","SD","ARI","X",9,"fly_ball",1,1,2022,"-0.96","1.12","-0.06","1.95",,,,0,6,"Bot",209.16,123.7,,,608348,,,3.56530899287598,-118.9210016766616,-4.062986498429252,-9.78142436972359,25.026037329203263,-21.036531250993853,"3.49","1.74",277,"96.9",51,"81.7",1824,"6.5",662211,669194,608348,572233,606466,656896,672695,656448,677950,664983,"53.98",0.009,0.016,"0",1,0,0,3,39,3,"Changeup",0,1,0,1,1,0,0,1,"Standard","Standard",239,"-0.04","-0.212"
"FF","2022-09-05","95","-2.37","6.31","Grisham, Trent",663757,656464,"field_out","hit_into_play",,,,,4,"Trent Grisham lines out sharply to center fielder Alek Thomas.","R","L","R","SD","ARI","X",8,"line_drive",1,0,2022,"-1.03","1.2","-0.69","2.66",,,,0,8,"Bot",114.1,62.68,,,608348,,,6.794322040568734,-138.08247007918013,-6.621647288271216,-14.755306670037163,32.1277836569071,-15.467105193193627,"3.49","1.74",340,"103.5",20,"95.6",2269,"6.8",662211,656464,608348,572233,606466,656896,672695,664983,677950,662139,"53.7",0.557,0.745,"0",1,0,0,6,58,2,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard",228,"-0.014","-0.254"
"CH","2022-08-24","87.1","-1.37","6.06","Grisham, Trent",663757,615698,"field_out","hit_into_play",,,,,13,"Trent Grisham flies out to left fielder Steven Kwan.","R","L","R","SD","CLE","X",7,"fly_ball",0,0,2022,"-1.23","0.73","-0.83","2.35",,605137,673490,1,5,"Bot",100.65,110.24,,,571912,,,3.8467229783443426,-126.7485482712275,-4.199668789569396,-14.05013141330713,28.15685470839207,-23.597456548059697,"3.41","1.66",193,"90.2",60,"87.1",1620,"6.5",662212,615698,571912,680911,671289,608070,642708,680757,664702,660757,"54.02",0.006,0.005,"0",1,0,0,3,41,1,"Changeup",0,6,0,6,6,0,0,6,"Standard","Standard",234,"-0.019","-0.467"
