"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-10-05","81.9","-3.93","0.97","Profar, Jurickson",595777,643511,"grounded_into_double_play","hit_into_play",,,,,7,"Jurickson Profar grounds into a double play, pitcher Tyler Rogers to shortstop Brandon Crawford to first baseman Wilmer Flores.   Trent Grisham out at 2nd.    Jurickson Profar out at 1st.","R","L","R","SD","SF","X",1,"ground_ball",1,0,2022,"0.09","-1.17","-0.63","1.89",,,663757,1,8,"Bot",127.07,184.44,,,663698,,,7.214767849361048,-118.41630409846537,10.96228663050528,-0.7424364866032938,25.829451842796583,-45.803856380169755,"3.29","1.55",16,"102.2",-6,"80.6",1834,"6.1",662238,643511,663698,527038,665154,613564,543063,596103,669369,573262,"54.42",0.294,0.265,"0",1,0,0,2,66,2,"4-Seam Fastball",1,7,1,7,7,1,1,7,"Standard","Standard",328,"-0.007","-0.412"
"FC","2022-09-29","96.7","-1.46","6.06","Profar, Jurickson",595777,660813,"single","hit_into_play",,,,,12,"Jurickson Profar singles on a fly ball to right fielder Mookie Betts.","R","L","R","SD","LAD","X",9,"fly_ball",1,1,2022,"-0.23","0.56","0.94","2.88",,,,0,1,"Bot",167.35,110.65,,,605131,,,6.86572970847254,-140.69613750102684,-4.1674595768218445,-4.710269662674191,33.19982916434599,-23.96407927575021,"3.31","1.56",187,"67.6",29,"95.7",2371,"5.8",662209,660813,605131,518692,621035,571970,607208,678246,641355,605141,"54.69",0.92,0.883,"0.9",1,1,0,4,4,3,"Cutter",0,0,0,0,0,0,0,0,"Standard","Standard",205,"0.036","0.404"
"SI","2022-09-25","94.3","-2.51","5.14","Profar, Jurickson",595777,668970,"single","hit_into_play",,,,,7,"Jurickson Profar singles on a ground ball to right fielder Randal Grichuk.","R","L","R","COL","SD","X",9,"ground_ball",0,1,2022,"-1.19","0.43","-0.38","1.65",,,,2,8,"Top",174.6,121.52,,,553869,,,8.30789520275764,-137.19873733172366,-4.453538246379698,-16.836845924724255,26.417458891874237,-25.96080018103217,"3.33","1.57",49,"96.3",1,"96.1",2441,"7.1",662865,668970,553869,543068,676701,641857,678662,656248,602074,545341,"53.43",0.411,0.384,"0.9",1,1,0,4,74,2,"Sinker",5,11,11,5,11,5,11,5,"Standard","Standard",230,"0","0.134"
"FF","2022-09-25","97","-1.47","5.98","Profar, Jurickson",595777,659275,"field_out","hit_into_play",,,,,6,"Jurickson Profar grounds out, second baseman Alan Trejo to first baseman C.  J. Cron.","R","L","R","COL","SD","X",4,"ground_ball",0,0,2022,"-0.5","0.75","0.34","2.24",,,,1,7,"Top",146.12,159.09,,,553869,,,6.030378143629142,-141.10833263962581,-6.234155531342911,-8.021663170465489,29.521355372468385,-20.997143132181833,"3.33","1.57",5,"102.3",-24,"97.6",2467,"6.5",662865,659275,553869,543068,676701,641857,678662,656248,602074,545341,"54.04",0.137,0.123,"0",1,0,0,2,62,1,"4-Seam Fastball",5,7,7,5,7,5,7,5,"Standard","Strategic",206,"0.011","-0.155"
"CH","2022-09-24","84.7","-2.53","5.23","Profar, Jurickson",595777,641771,"single","hit_into_play",,,,,7,"Jurickson Profar singles on a sharp ground ball to right fielder Randal Grichuk.","R","L","R","COL","SD","X",9,"ground_ball",0,0,2022,"-0.88","0.46","-0.45","2.04",,,,1,5,"Top",173.93,109.27,,,661531,,,6.646297283533008,-123.38348036029727,-2.146414385976742,-10.202833756039798,21.10172974643175,-27.226188018930138,"3.4","1.62",111,"101.3",5,"85.6",1549,"6.5",662866,641771,661531,669911,676701,641857,678662,656248,602074,545341,"53.99",0.64,0.613,"0.9",1,1,0,4,35,1,"Changeup",1,2,2,1,2,1,2,1,"Standard","Standard",249,"-0.026","0.262"
"SL","2022-09-24","85","-2.11","5.16","Profar, Jurickson",595777,663385,"field_out","hit_into_play",,,,,7,"Jurickson Profar grounds out sharply, second baseman Alan Trejo to first baseman Michael Toglia.","R","L","R","COL","SD","X",4,"ground_ball",1,0,2022,"0.23","-0.2","-0.71","2.05",,,,1,8,"Top",150.22,151.82,,,661531,,,2.8138279063248373,-123.8623974621685,-0.6897866115486961,1.8635505920342466,21.29006696650624,-34.28141867546494,"3.4","1.62",87,"102.6",3,"84.6",2322,"5.7",662866,663385,661531,669911,676701,641857,678662,656248,602074,545341,"54.85",0.546,0.522,"0",1,0,0,4,65,2,"Slider",2,9,9,2,9,2,9,2,"Standard","Standard",78,"0","-0.178"
"SL","2022-09-24","85.2","-3.06","4.45","Profar, Jurickson",595777,664875,"double","hit_into_play",,,,,2,"Jurickson Profar doubles (35) on a ground ball to center fielder Yonathan Daza.","R","L","R","COL","SD","X",8,"ground_ball",2,2,2022,"1.18","0.62","-0.13","3.08",,,,1,7,"Top",158.7,96.67,,,661531,,,4.5164845855100095,-124.18131927213905,1.778727189787289,11.52801839830616,22.482042306027367,-26.22072988459489,"3.4","1.62",15,"87.5",-11,"85.6",2865,"6.2",662866,664875,661531,669911,676701,641857,678662,656248,602074,545341,"54.27",0.143,0.133,"1.25",1,1,1,2,52,6,"Slider",2,3,3,2,3,2,3,2,"Standard","Standard",86,"-0.047","0.441"
"SL","2022-09-23","85.4","-1.97","5.16","Profar, Jurickson",595777,663372,"field_out","hit_into_play",,,,,2,"Jurickson Profar flies out to center fielder Yonathan Daza.","R","L","R","COL","SD","X",8,"fly_ball",3,2,2022,"0.66","0.27","-0.15","3.08",,,,1,5,"Top",92.45,73.36,,,553869,,,2.970113263077701,-124.5148083808297,0.7530955573858924,6.3701758160466815,21.89543880499185,-29.703452073823147,"3.39","1.62",323,"85.3",31,"86",2386,"6.3",662897,663372,553869,669911,676701,660707,678662,656248,602074,545341,"54.24",0.049,0.063,"0",1,0,0,3,39,8,"Slider",3,2,2,3,2,3,2,3,"Standard","Strategic",135,"0.023","-0.207"
"FF","2022-09-23","94.5","-2.1","5.15","Profar, Jurickson",595777,663372,"single","hit_into_play",,,,,5,"Jurickson Profar singles on a ground ball to right fielder Randal Grichuk.   Jose Azocar to 3rd.","R","L","R","COL","SD","X",9,"ground_ball",2,2,2022,"-0.62","1.11","-0.09","2.38",,,640492,1,3,"Top",181.12,129.4,,,553869,,,6.589030900532556,-137.5985019652094,-4.08328027338578,-9.201240860686122,25.35323081963789,-17.351424801712263,"3.39","1.62",8,"91.1",-16,"94.9",2302,"6.1",662897,663372,553869,669911,676701,660707,678662,656248,602074,545341,"54.39",0.143,0.141,"0.9",1,1,0,2,20,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",222,"-0.07","0.51"
"FF","2022-09-23","96.6","-1.92","5.75","Profar, Jurickson",595777,608032,"field_out","hit_into_play",,,,,4,"Jurickson Profar lines out sharply to center fielder Yonathan Daza.","R","L","R","COL","SD","X",8,"line_drive",3,2,2022,"-0.71","1.07","-0.45","2.82",,,,0,8,"Top",115.21,47.39,,,553869,,,5.54827784229705,-140.63384863389447,-4.729395961104679,-10.646809325699177,28.973011792982568,-17.067137176171478,"3.39","1.62",376,"101.9",19,"96.9",2239,"6.2",662897,608032,553869,669911,676701,641857,678662,656248,602074,545341,"54.26",0.451,0.575,"0",1,0,0,5,59,6,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",216,"0.054","-0.298"
